RUNTYPE,STARTTIME,ENDTIME,DURATION,SUCCESS,FAILREASON
WARMUP,1543061059022568,1543073324630149,12265607581, 1,N/A
REPETITION,1543073324636462,1543076982312798,3657676336, 1,N/A
REPETITION,1543076982315688,1543079220253079,2237937391, 1,N/A
REPETITION,1543079220255617,1543081342430633,2122175016, 1,N/A
REPETITION,1543081342433259,1543083473649078,2131215819, 1,N/A
REPETITION,1543083473651798,1543085607066243,2133414445, 1,N/A
REPETITION,1543085607068841,1543087741215048,2134146207, 1,N/A
REPETITION,1543087741226476,1543089821175051,2079948575, 1,N/A
REPETITION,1543089821177688,1543091929968974,2108791286, 1,N/A
REPETITION,1543091929971828,1543094036394674,2106422846, 1,N/A
REPETITION,1543094036398002,1543096479328919,2442930917, 1,N/A
REPETITION,1543096479331721,1543098553091999,2073760278, 1,N/A
REPETITION,1543098553094673,1543100626412084,2073317411, 1,N/A
REPETITION,1543100626414900,1543102709765791,2083350891, 1,N/A
REPETITION,1543102709768951,1543104791048599,2081279648, 1,N/A
REPETITION,1543104791051555,1543106864646123,2073594568, 1,N/A
REPETITION,1543106864648998,1543108944857434,2080208436, 1,N/A
REPETITION,1543108944860304,1543111022246062,2077385758, 1,N/A
REPETITION,1543111022248804,1543113110851655,2088602851, 1,N/A
REPETITION,1543113110854771,1543115199696218,2088841447, 1,N/A
REPETITION,1543115199699171,1543117287652669,2087953498, 1,N/A
REPETITION,1543117287655615,1543119371572662,2083917047, 1,N/A
REPETITION,1543119371575805,1543121464781556,2093205751, 1,N/A
REPETITION,1543121464784722,1543123542380485,2077595763, 1,N/A
REPETITION,1543123542383429,1543125649012467,2106629038, 1,N/A
REPETITION,1543125649024787,1543127739687883,2090663096, 1,N/A
REPETITION,1543127739691155,1543129830183440,2090492285, 1,N/A
REPETITION,1543129830186591,1543131936705295,2106518704, 1,N/A
REPETITION,1543131936708239,1543134024384676,2087676437, 1,N/A
REPETITION,1543134024387561,1543136112186783,2087799222, 1,N/A
REPETITION,1543136112189775,1543138203769541,2091579766, 1,N/A
REPETITION,1543138203772615,1543140313165294,2109392679, 1,N/A
REPETITION,1543140313168497,1543142420772715,2107604218, 1,N/A
REPETITION,1543142420775577,1543144514410559,2093634982, 1,N/A
REPETITION,1543144514413358,1543146609832220,2095418862, 1,N/A
REPETITION,1543146609835036,1543148702419843,2092584807, 1,N/A
REPETITION,1543148702431647,1543150802127823,2099696176, 1,N/A
REPETITION,1543150802139296,1543152895756754,2093617458, 1,N/A
REPETITION,1543152895759826,1543154992390836,2096631010, 1,N/A
REPETITION,1543154992393924,1543157091522665,2099128741, 1,N/A
REPETITION,1543157091534621,1543159186808273,2095273652, 1,N/A
REPETITION,1543159186811356,1543161286595115,2099783759, 1,N/A
REPETITION,1543161286598103,1543163378357372,2091759269, 1,N/A
REPETITION,1543163378369013,1543165487395084,2109026071, 1,N/A
REPETITION,1543165487397894,1543167588183223,2100785329, 1,N/A
REPETITION,1543167588186104,1543169700407208,2112221104, 1,N/A
REPETITION,1543169700410133,1543171794762509,2094352376, 1,N/A
REPETITION,1543171794774062,1543173899326963,2104552901, 1,N/A
REPETITION,1543173899330004,1543175990611161,2091281157, 1,N/A
REPETITION,1543175990614197,1543178080812112,2090197915, 1,N/A
REPETITION,1543178080815668,1543180191604704,2110789036, 1,N/A
REPETITION,1543180191607768,1543182296718364,2105110596, 1,N/A
REPETITION,1543182296721354,1543184391607844,2094886490, 1,N/A
REPETITION,1543184391611004,1543186494465637,2102854633, 1,N/A
REPETITION,1543186494469024,1543188597170398,2102701374, 1,N/A
REPETITION,1543188597173237,1543190684808811,2087635574, 1,N/A
REPETITION,1543190684811769,1543192782420305,2097608536, 1,N/A
REPETITION,1543192782423273,1543194883036882,2100613609, 1,N/A
REPETITION,1543194883039824,1543196990102646,2107062822, 1,N/A
REPETITION,1543196990105695,1543199090023450,2099917755, 1,N/A
REPETITION,1543199090026387,1543201189612158,2099585771, 1,N/A
REPETITION,1543201189615229,1543203295504129,2105888900, 1,N/A
REPETITION,1543203295506870,1543205405652710,2110145840, 1,N/A
REPETITION,1543205405655596,1543207504528319,2098872723, 1,N/A
REPETITION,1543207504531508,1543209601548725,2097017217, 1,N/A
REPETITION,1543209601552142,1543211696903262,2095351120, 1,N/A
