RUNTYPE,STARTTIME,ENDTIME,DURATION,SUCCESS,FAILREASON
WARMUP,147587296976508,147587336526507,39549999, 1,N/A
REPETITION,147587336538447,147587353672572,17134125, 1,N/A
REPETITION,147587353675211,147587362118353,8443142, 1,N/A
REPETITION,147587362121568,147587368767167,6645599, 1,N/A
REPETITION,147587368770014,147587374193360,5423346, 1,N/A
REPETITION,147587374195932,147587379263956,5068024, 1,N/A
REPETITION,147587379266579,147587383871847,4605268, 1,N/A
REPETITION,147587383874337,147587392258636,8384299, 1,N/A
REPETITION,147587392262663,147587398190500,5927837, 1,N/A
REPETITION,147587398194246,147587404321930,6127684, 1,N/A
REPETITION,147587404325364,147587409576779,5251415, 1,N/A
REPETITION,147587409580628,147587414685416,5104788, 1,N/A
REPETITION,147587414688798,147587420072207,5383409, 1,N/A
REPETITION,147587420076619,147587425634463,5557844, 1,N/A
REPETITION,147587425638468,147587431056485,5418017, 1,N/A
REPETITION,147587431060305,147587434213307,3153002, 1,N/A
REPETITION,147587434216113,147587437349073,3132960, 1,N/A
REPETITION,147587437351919,147587440593419,3241500, 1,N/A
REPETITION,147587440596222,147587443524314,2928092, 1,N/A
REPETITION,147587443526559,147587446449100,2922541, 1,N/A
REPETITION,147587446451120,147587449677076,3225956, 1,N/A
REPETITION,147587449679903,147587452580845,2900942, 1,N/A
REPETITION,147587452583449,147587455421883,2838434, 1,N/A
REPETITION,147587455424402,147587458193843,2769441, 1,N/A
REPETITION,147587458195847,147587460805783,2609936, 1,N/A
REPETITION,147587460807350,147587463711166,2903816, 1,N/A
REPETITION,147587463713437,147587466471307,2757870, 1,N/A
REPETITION,147587466472695,147587469250085,2777390, 1,N/A
REPETITION,147587469251840,147587471952048,2700208, 1,N/A
REPETITION,147587471971945,147587474585603,2613658, 1,N/A
REPETITION,147587474588445,147587477141319,2552874, 1,N/A
REPETITION,147587477143536,147587479705312,2561776, 1,N/A
REPETITION,147587479708719,147587482273489,2564770, 1,N/A
REPETITION,147587482276277,147587484872179,2595902, 1,N/A
REPETITION,147587484874928,147587487402282,2527354, 1,N/A
REPETITION,147587487404148,147587489965015,2560867, 1,N/A
REPETITION,147587489966816,147587492543444,2576628, 1,N/A
REPETITION,147587492545647,147587495115406,2569759, 1,N/A
REPETITION,147587495117959,147587497536219,2418260, 1,N/A
REPETITION,147587497538272,147587499981346,2443074, 1,N/A
REPETITION,147587499983855,147587502486498,2502643, 1,N/A
REPETITION,147587502488713,147587504789952,2301239, 1,N/A
REPETITION,147587504791802,147587507099157,2307355, 1,N/A
REPETITION,147587507100793,147587509556838,2456045, 1,N/A
REPETITION,147587509559018,147587511791045,2232027, 1,N/A
REPETITION,147587511792605,147587513991146,2198541, 1,N/A
REPETITION,147587513992609,147587516693605,2700996, 1,N/A
REPETITION,147587516702347,147587521165925,4463578, 1,N/A
REPETITION,147587521169819,147587523351553,2181734, 1,N/A
REPETITION,147587523353109,147587526009978,2656869, 1,N/A
REPETITION,147587526012141,147587529198668,3186527, 1,N/A
REPETITION,147587529201510,147587531700682,2499172, 1,N/A
REPETITION,147587531702525,147587534549042,2846517, 1,N/A
REPETITION,147587534551391,147587536980628,2429237, 1,N/A
REPETITION,147587536982265,147587540222241,3239976, 1,N/A
REPETITION,147587540224510,147587544546258,4321748, 1,N/A
REPETITION,147587544549904,147587548558331,4008427, 1,N/A
REPETITION,147587548561205,147587552713392,4152187, 1,N/A
REPETITION,147587552716855,147587556023749,3306894, 1,N/A
REPETITION,147587556027474,147587559028548,3001074, 1,N/A
REPETITION,147587559032993,147587561825192,2792199, 1,N/A
REPETITION,147587561828453,147587563875106,2046653, 1,N/A
REPETITION,147587563876447,147587565995130,2118683, 1,N/A
REPETITION,147587565996413,147587568020768,2024355, 1,N/A
REPETITION,147587568022042,147587570017682,1995640, 1,N/A
REPETITION,147587570018994,147587571955899,1936905, 1,N/A
WARMUP,147587735602031,147587772209193,36607162, 1,N/A
REPETITION,147587772216775,147587794252067,22035292, 1,N/A
REPETITION,147587794254699,147587810142740,15888041, 1,N/A
REPETITION,147587810146231,147587824178694,14032463, 1,N/A
REPETITION,147587824181875,147587830917304,6735429, 1,N/A
REPETITION,147587830920131,147587836580510,5660379, 1,N/A
REPETITION,147587836583252,147587841385716,4802464, 1,N/A
REPETITION,147587841387843,147587846811393,5423550, 1,N/A
REPETITION,147587846814845,147587850835612,4020767, 1,N/A
REPETITION,147587850838335,147587854860071,4021736, 1,N/A
REPETITION,147587854862857,147587858137268,3274411, 1,N/A
REPETITION,147587858139499,147587861447654,3308155, 1,N/A
REPETITION,147587861450118,147587865810176,4360058, 1,N/A
REPETITION,147587865813150,147587869179974,3366824, 1,N/A
REPETITION,147587869182901,147587872454013,3271112, 1,N/A
REPETITION,147587872456188,147587875769468,3313280, 1,N/A
REPETITION,147587875772349,147587879190090,3417741, 1,N/A
REPETITION,147587879193109,147587882464965,3271856, 1,N/A
REPETITION,147587882467828,147587885517288,3049460, 1,N/A
REPETITION,147587885519677,147587888623670,3103993, 1,N/A
REPETITION,147587888626625,147587891631162,3004537, 1,N/A
REPETITION,147587891633364,147587894597426,2964062, 1,N/A
REPETITION,147587894599810,147587897757080,3157270, 1,N/A
REPETITION,147587897759222,147587900597494,2838272, 1,N/A
REPETITION,147587900599099,147587906305850,5706751, 1,N/A
REPETITION,147587906310272,147587909748865,3438593, 1,N/A
REPETITION,147587909751714,147587912836579,3084865, 1,N/A
REPETITION,147587912840214,147587916988315,4148101, 1,N/A
REPETITION,147587916991620,147587921529879,4538259, 1,N/A
REPETITION,147587921533326,147587926010543,4477217, 1,N/A
REPETITION,147587926013747,147587930630687,4616940, 1,N/A
REPETITION,147587930635289,147587935195624,4560335, 1,N/A
REPETITION,147587935198935,147587939421744,4222809, 1,N/A
REPETITION,147587939424937,147587942970215,3545278, 1,N/A
REPETITION,147587942975414,147587945954360,2978946, 1,N/A
REPETITION,147587945958815,147587948830683,2871868, 1,N/A
REPETITION,147587948833727,147587951476916,2643189, 1,N/A
REPETITION,147587951479828,147587953894994,2415166, 1,N/A
REPETITION,147587953896980,147587956301286,2404306, 1,N/A
REPETITION,147587956303179,147587958696072,2392893, 1,N/A
REPETITION,147587958698085,147587961006167,2308082, 1,N/A
REPETITION,147587961008458,147587963438108,2429650, 1,N/A
REPETITION,147587963440552,147587965667860,2227308, 1,N/A
REPETITION,147587965669413,147587967883690,2214277, 1,N/A
REPETITION,147587967885204,147587970167059,2281855, 1,N/A
