RUNTYPE,STARTTIME,ENDTIME,DURATION,SUCCESS,FAILREASON
WARMUP,152244305150309,152244601777903,296627594, 1,N/A
REPETITION,152244601793103,152244628702249,26909146, 1,N/A
REPETITION,152244628706798,152244647216079,18509281, 1,N/A
REPETITION,152244647219154,152244662220895,15001741, 1,N/A
REPETITION,152244662224783,152244675613742,13388959, 1,N/A
REPETITION,152244675617832,152244688798031,13180199, 1,N/A
REPETITION,152244688802304,152244700790786,11988482, 1,N/A
REPETITION,152244700795083,152244711172566,10377483, 1,N/A
REPETITION,152244711176702,152244720074382,8897680, 1,N/A
REPETITION,152244720078028,152244726585623,6507595, 1,N/A
REPETITION,152244726588793,152244731663354,5074561, 1,N/A
REPETITION,152244731666856,152244739911008,8244152, 1,N/A
REPETITION,152244739915103,152244747761961,7846858, 1,N/A
REPETITION,152244747766564,152244755505450,7738886, 1,N/A
REPETITION,152244755509404,152244762741340,7231936, 1,N/A
REPETITION,152244762745423,152244769710500,6965077, 1,N/A
REPETITION,152244769714911,152244776393219,6678308, 1,N/A
REPETITION,152244776397950,152244782151213,5753263, 1,N/A
REPETITION,152244782155449,152244787676531,5521082, 1,N/A
REPETITION,152244787680831,152244793169976,5489145, 1,N/A
REPETITION,152244793173700,152244798080816,4907116, 1,N/A
REPETITION,152244798084407,152244803024171,4939764, 1,N/A
REPETITION,152244803028074,152244807777132,4749058, 1,N/A
REPETITION,152244807781073,152244812862234,5081161, 1,N/A
REPETITION,152244812866442,152244817548769,4682327, 1,N/A
REPETITION,152244817553197,152244820619481,3066284, 1,N/A
REPETITION,152244820622150,152244823442999,2820849, 1,N/A
REPETITION,152244823445603,152244826427604,2982001, 1,N/A
REPETITION,152244826430304,152244829218183,2787879, 1,N/A
REPETITION,152244829220307,152244832009514,2789207, 1,N/A
REPETITION,152244832011767,152244834775286,2763519, 1,N/A
REPETITION,152244834777571,152244837603051,2825480, 1,N/A
REPETITION,152244837605265,152244842059595,4454330, 1,N/A
REPETITION,152244842063525,152244846945056,4881531, 1,N/A
REPETITION,152244846949451,152244857618187,10668736, 1,N/A
REPETITION,152244857622090,152244865427705,7805615, 1,N/A
REPETITION,152244865432095,152244870330756,4898661, 1,N/A
REPETITION,152244870334645,152244875189323,4854678, 1,N/A
REPETITION,152244875193350,152244880088739,4895389, 1,N/A
REPETITION,152244880092974,152244885004664,4911690, 1,N/A
REPETITION,152244885008685,152244889629963,4621278, 1,N/A
REPETITION,152244889634620,152244894109901,4475281, 1,N/A
REPETITION,152244894113988,152244898251468,4137480, 1,N/A
REPETITION,152244898255931,152244902679430,4423499, 1,N/A
REPETITION,152244902683880,152244906668686,3984806, 1,N/A
REPETITION,152244906671999,152244909588137,2916138, 1,N/A
REPETITION,152244909592183,152244915152724,5560541, 1,N/A
REPETITION,152244915157196,152244919319064,4161868, 1,N/A
REPETITION,152244919322973,152244923612422,4289449, 1,N/A
REPETITION,152244923616993,152244928301025,4684032, 1,N/A
REPETITION,152244928305323,152244932532771,4227448, 1,N/A
REPETITION,152244932536800,152244936542460,4005660, 1,N/A
REPETITION,152244936546213,152244940493984,3947771, 1,N/A
REPETITION,152244940497909,152244944892468,4394559, 1,N/A
REPETITION,152244944896332,152244949162099,4265767, 1,N/A
REPETITION,152244949166621,152244953551177,4384556, 1,N/A
REPETITION,152244953555994,152244957767308,4211314, 1,N/A
REPETITION,152244957771450,152244961998090,4226640, 1,N/A
REPETITION,152244962001828,152244966309409,4307581, 1,N/A
REPETITION,152244966313371,152244970681026,4367655, 1,N/A
REPETITION,152244970685325,152244974868053,4182728, 1,N/A
REPETITION,152244974872868,152244979467144,4594276, 1,N/A
REPETITION,152244979471386,152244983876810,4405424, 1,N/A
REPETITION,152244983880921,152244987810377,3929456, 1,N/A
REPETITION,152244987813453,152244990124510,2311057, 1,N/A
REPETITION,152244990127197,152244996589859,6462662, 1,N/A
WARMUP,152245868985645,152246177610264,308624619, 1,N/A
REPETITION,152246177629037,152246200260973,22631936, 1,N/A
REPETITION,152246200265021,152246222863250,22598229, 1,N/A
REPETITION,152246222867446,152246233926436,11058990, 1,N/A
REPETITION,152246233929787,152246247212024,13282237, 1,N/A
REPETITION,152246247216036,152246258915824,11699788, 1,N/A
REPETITION,152246258919046,152246268519625,9600579, 1,N/A
REPETITION,152246268523208,152246274521173,5997965, 1,N/A
REPETITION,152246274524387,152246280363329,5838942, 1,N/A
REPETITION,152246280366677,152246287524412,7157735, 1,N/A
REPETITION,152246287528836,152246295094070,7565234, 1,N/A
REPETITION,152246295099341,152246301216910,6117569, 1,N/A
REPETITION,152246301221164,152246321274408,20053244, 1,N/A
REPETITION,152246321279432,152246328992173,7712741, 1,N/A
REPETITION,152246328997029,152246336510505,7513476, 1,N/A
REPETITION,152246336514538,152246343734007,7219469, 1,N/A
REPETITION,152246343738257,152246350084613,6346356, 1,N/A
REPETITION,152246350088930,152246356711279,6622349, 1,N/A
REPETITION,152246356715245,152246362571135,5855890, 1,N/A
REPETITION,152246362575216,152246368158794,5583578, 1,N/A
REPETITION,152246368162875,152246373050612,4887737, 1,N/A
REPETITION,152246373054432,152246377693926,4639494, 1,N/A
REPETITION,152246377698484,152246381249930,3551446, 1,N/A
REPETITION,152246381256128,152246384055676,2799548, 1,N/A
REPETITION,152246384058361,152246387142087,3083726, 1,N/A
REPETITION,152246387146124,152246392088693,4942569, 1,N/A
REPETITION,152246392092409,152246396516581,4424172, 1,N/A
REPETITION,152246396520565,152246400924917,4404352, 1,N/A
REPETITION,152246400928978,152246405373875,4444897, 1,N/A
REPETITION,152246405377847,152246409506274,4128427, 1,N/A
REPETITION,152246409510530,152246414147929,4637399, 1,N/A
REPETITION,152246414151875,152246418702234,4550359, 1,N/A
REPETITION,152246418705940,152246423332746,4626806, 1,N/A
REPETITION,152246423336828,152246427966456,4629628, 1,N/A
REPETITION,152246427970430,152246435456797,7486367, 1,N/A
REPETITION,152246435460910,152246440427951,4967041, 1,N/A
REPETITION,152246440432246,152246445121046,4688800, 1,N/A
REPETITION,152246445124789,152246455836086,10711297, 1,N/A
REPETITION,152246455840451,152246460985101,5144650, 1,N/A
REPETITION,152246460989197,152246465972543,4983346, 1,N/A
REPETITION,152246465977096,152246470568611,4591515, 1,N/A
REPETITION,152246470572765,152246475258129,4685364, 1,N/A
REPETITION,152246475262472,152246479747991,4485519, 1,N/A
REPETITION,152246479752338,152246482831880,3079542, 1,N/A
REPETITION,152246482834945,152246484988467,2153522, 1,N/A
REPETITION,152246484991498,152246487141935,2150437, 1,N/A
REPETITION,152246487145356,152246489293598,2148242, 1,N/A
REPETITION,152246489296446,152246491680386,2383940, 1,N/A
REPETITION,152246491684396,152246495583577,3899181, 1,N/A
REPETITION,152246495587659,152246498252280,2664621, 1,N/A
REPETITION,152246498255995,152246500385780,2129785, 1,N/A
REPETITION,152246500388684,152246502495074,2106390, 1,N/A
REPETITION,152246502497599,152246504595735,2098136, 1,N/A
REPETITION,152246504597799,152246508170335,3572536, 1,N/A
REPETITION,152246508175062,152246512404712,4229650, 1,N/A
REPETITION,152246512409790,152246516348154,3938364, 1,N/A
REPETITION,152246516352708,152246520222208,3869500, 1,N/A
REPETITION,152246520226445,152246524393547,4167102, 1,N/A
REPETITION,152246524397479,152246527930872,3533393, 1,N/A
REPETITION,152246527934058,152246531140301,3206243, 1,N/A
REPETITION,152246531144353,152246533323715,2179362, 1,N/A
REPETITION,152246533327005,152246535691738,2364733, 1,N/A
REPETITION,152246535696413,152246539558595,3862182, 1,N/A
REPETITION,152246539563250,152246543269686,3706436, 1,N/A
REPETITION,152246543273284,152246547092394,3819110, 1,N/A
REPETITION,152246547096392,152246550931296,3834904, 1,N/A
WARMUP,152247444147579,152247741263190,297115611, 1,N/A
REPETITION,152247741275572,152247766785478,25509906, 1,N/A
REPETITION,152247766788694,152247791235448,24446754, 1,N/A
REPETITION,152247791239281,152247807800942,16561661, 1,N/A
REPETITION,152247807804578,152247822932046,15127468, 1,N/A
REPETITION,152247822935568,152247834378165,11442597, 1,N/A
REPETITION,152247834382544,152247844878112,10495568, 1,N/A
REPETITION,152247844882551,152247855955803,11073252, 1,N/A
REPETITION,152247855959900,152247863902759,7942859, 1,N/A
REPETITION,152247863906195,152247871545011,7638816, 1,N/A
REPETITION,152247871548191,152247884678315,13130124, 1,N/A
REPETITION,152247884682948,152247895067821,10384873, 1,N/A
REPETITION,152247895072236,152247905397269,10325033, 1,N/A
REPETITION,152247905401705,152247914313643,8911938, 1,N/A
REPETITION,152247914317752,152247921953955,7636203, 1,N/A
REPETITION,152247921958661,152247928694705,6736044, 1,N/A
REPETITION,152247928699114,152247934341563,5642449, 1,N/A
REPETITION,152247934345155,152247941167554,6822399, 1,N/A
REPETITION,152247941170959,152247947544306,6373347, 1,N/A
REPETITION,152247947549041,152247953161136,5612095, 1,N/A
REPETITION,152247953164735,152247958058392,4893657, 1,N/A
REPETITION,152247958061747,152247963045851,4984104, 1,N/A
REPETITION,152247963049378,152247967686488,4637110, 1,N/A
REPETITION,152247967689668,152247972318335,4628667, 1,N/A
REPETITION,152247972321993,152247976956827,4634834, 1,N/A
REPETITION,152247976959869,152247981450259,4490390, 1,N/A
REPETITION,152247981453433,152247986247772,4794339, 1,N/A
REPETITION,152247986250609,152247991740317,5489708, 1,N/A
REPETITION,152247991744801,152247996167929,4423128, 1,N/A
REPETITION,152247996171122,152248000391475,4220353, 1,N/A
REPETITION,152248000394819,152248015207036,14812217, 1,N/A
REPETITION,152248015213426,152248020223688,5010262, 1,N/A
REPETITION,152248020227585,152248024523793,4296208, 1,N/A
REPETITION,152248024531276,152248029452682,4921406, 1,N/A
REPETITION,152248029457004,152248040411921,10954917, 1,N/A
REPETITION,152248040416445,152248047247426,6830981, 1,N/A
REPETITION,152248047252347,152248050682764,3430417, 1,N/A
REPETITION,152248050686764,152248053705025,3018261, 1,N/A
REPETITION,152248053709407,152248057360080,3650673, 1,N/A
REPETITION,152248057364639,152248061106926,3742287, 1,N/A
REPETITION,152248061111011,152248063985347,2874336, 1,N/A
REPETITION,152248063989121,152248068275484,4286363, 1,N/A
REPETITION,152248068280122,152248072671196,4391074, 1,N/A
REPETITION,152248072675833,152248077557556,4881723, 1,N/A
REPETITION,152248077562203,152248081949903,4387700, 1,N/A
REPETITION,152248081954394,152248086293374,4338980, 1,N/A
REPETITION,152248086298563,152248089900358,3601795, 1,N/A
REPETITION,152248089905141,152248093901296,3996155, 1,N/A
REPETITION,152248093905798,152248098184044,4278246, 1,N/A
REPETITION,152248098188786,152248103648059,5459273, 1,N/A
REPETITION,152248103651628,152248106095704,2444076, 1,N/A
REPETITION,152248106099220,152248109981629,3882409, 1,N/A
REPETITION,152248109985733,152248114097424,4111691, 1,N/A
