RUNTYPE,STARTTIME,ENDTIME,DURATION,SUCCESS,FAILREASON
WARMUP,1407951154178011,1407951212391997,58213986, 1,N/A
REPETITION,1407951212400194,1407951217810383,5410189, 1,N/A
REPETITION,1407951217813678,1407952047381145,829567467, 1,N/A
REPETITION,1407952047384012,1407952050853937,3469925, 1,N/A
REPETITION,1407952050856673,1407952053594494,2737821, 1,N/A
REPETITION,1407952053596433,1407952056727790,3131357, 1,N/A
REPETITION,1407952056731182,1407952059812349,3081167, 1,N/A
REPETITION,1407952059815382,1407952062406294,2590912, 1,N/A
REPETITION,1407952062408653,1407952064126478,1717825, 1,N/A
REPETITION,1407952064127899,1407952065762067,1634168, 1,N/A
REPETITION,1407952065763375,1407953461641598,1395878223, 1,N/A
REPETITION,1407953461645429,1407953463768312,2122883, 1,N/A
REPETITION,1407953463772606,1407953465500482,1727876, 1,N/A
REPETITION,1407953465504775,1407953781190858,315686083, 1,N/A
REPETITION,1407953781193141,1407953783043618,1850477, 1,N/A
REPETITION,1407953783046336,1407953784509433,1463097, 1,N/A
REPETITION,1407953784511193,1407953785675109,1163916, 1,N/A
REPETITION,1407953785676541,1407953786552537,875996, 1,N/A
REPETITION,1407953786553641,1407953787943788,1390147, 1,N/A
REPETITION,1407953787945342,1407953789450418,1505076, 1,N/A
REPETITION,1407953789451863,1407953790876200,1424337, 1,N/A
REPETITION,1407953790877780,1407953792183215,1305435, 1,N/A
REPETITION,1407953792184929,1407953793176704,991775, 1,N/A
REPETITION,1407953793178010,1407953794489982,1311972, 1,N/A
REPETITION,1407953794492415,1407953795884736,1392321, 1,N/A
REPETITION,1407953795886569,1407953797339563,1452994, 1,N/A
REPETITION,1407953797342002,1407953798681118,1339116, 1,N/A
REPETITION,1407953798682644,1407953799979235,1296591, 1,N/A
REPETITION,1407953799981435,1407953800962375,980940, 1,N/A
REPETITION,1407953800963663,1407953801811188,847525, 1,N/A
REPETITION,1407953801812773,1407953802513663,700890, 1,N/A
REPETITION,1407953802514681,1407953803499445,984764, 1,N/A
REPETITION,1407953803501303,1407953804728925,1227622, 1,N/A
REPETITION,1407953804731130,1407953805559471,828341, 1,N/A
REPETITION,1407953805561011,1407953806281891,720880, 1,N/A
REPETITION,1407953806283098,1407953807050471,767373, 1,N/A
REPETITION,1407953807051692,1407953807756397,704705, 1,N/A
REPETITION,1407953807757450,1407953808825454,1068004, 1,N/A
REPETITION,1407953808826744,1407953809994303,1167559, 1,N/A
REPETITION,1407953809995921,1407953811093114,1097193, 1,N/A
REPETITION,1407953811094727,1407953812160570,1065843, 1,N/A
REPETITION,1407953812162599,1407953813341297,1178698, 1,N/A
REPETITION,1407953813342827,1407953814583513,1240686, 1,N/A
REPETITION,1407953814584847,1407953815659789,1074942, 1,N/A
REPETITION,1407953815661676,1407953816860945,1199269, 1,N/A
REPETITION,1407953816863254,1407953818086305,1223051, 1,N/A
REPETITION,1407953818088066,1407953819110885,1022819, 1,N/A
REPETITION,1407953819112392,1407953820310161,1197769, 1,N/A
REPETITION,1407953820311838,1407953821347278,1035440, 1,N/A
REPETITION,1407953821348588,1407953822288792,940204, 1,N/A
REPETITION,1407953822289993,1407953823293313,1003320, 1,N/A
REPETITION,1407953823294927,1407953824432244,1137317, 1,N/A
REPETITION,1407953824433675,1407953825684377,1250702, 1,N/A
REPETITION,1407953825685891,1407953826666863,980972, 1,N/A
REPETITION,1407953826668227,1407953827608744,940517, 1,N/A
REPETITION,1407953827610038,1407953828562093,952055, 1,N/A
REPETITION,1407953828563684,1407953829471130,907446, 1,N/A
REPETITION,1407953829472367,1407953830338330,865963, 1,N/A
REPETITION,1407953830339544,1407953831192995,853451, 1,N/A
REPETITION,1407953831194317,1407953832284931,1090614, 1,N/A
REPETITION,1407953832286951,1407953833326406,1039455, 1,N/A
REPETITION,1407953833328382,1407953834426078,1097696, 1,N/A
REPETITION,1407953834427760,1407953835503564,1075804, 1,N/A
REPETITION,1407953835505497,1407953836750370,1244873, 1,N/A
REPETITION,1407953836752853,1407953837787571,1034718, 1,N/A
REPETITION,1407953837789409,1407953838868861,1079452, 1,N/A
