RUNTYPE,STARTTIME,ENDTIME,DURATION,SUCCESS,FAILREASON
WARMUP,148744795415367,148745099271026,303855659, 1,N/A
REPETITION,148745099283465,148745121489516,22206051, 1,N/A
REPETITION,148745121493625,148745141523699,20030074, 1,N/A
REPETITION,148745141527946,148745157127397,15599451, 1,N/A
REPETITION,148745157131372,148745170857067,13725695, 1,N/A
REPETITION,148745170861214,148745180152048,9290834, 1,N/A
REPETITION,148745180155122,148745186650140,6495018, 1,N/A
REPETITION,148745186653308,148745192643520,5990212, 1,N/A
REPETITION,148745192646686,148745200944984,8298298, 1,N/A
REPETITION,148745200949914,148745209266065,8316151, 1,N/A
REPETITION,148745209270222,148745217239616,7969394, 1,N/A
REPETITION,148745217243616,148745229571775,12328159, 1,N/A
REPETITION,148745229575789,148745237460577,7884788, 1,N/A
REPETITION,148745237464990,148745245446124,7981134, 1,N/A
REPETITION,148745245450447,148745252631565,7181118, 1,N/A
REPETITION,148745252639570,148745259350718,6711148, 1,N/A
REPETITION,148745259354692,148745270357972,11003280, 1,N/A
REPETITION,148745270361448,148745275198830,4837382, 1,N/A
REPETITION,148745275203155,148745280869271,5666116, 1,N/A
REPETITION,148745280873307,148745285571313,4698006, 1,N/A
REPETITION,148745285575637,148745290467716,4892079, 1,N/A
REPETITION,148745290470837,148745293882532,3411695, 1,N/A
REPETITION,148745293885645,148745296787207,2901562, 1,N/A
REPETITION,148745296789954,148745300681307,3891353, 1,N/A
REPETITION,148745300685310,148745304756073,4070763, 1,N/A
REPETITION,148745304760059,148745309217967,4457908, 1,N/A
REPETITION,148745309222401,148745312392101,3169700, 1,N/A
REPETITION,148745312395462,148745315719140,3323678, 1,N/A
REPETITION,148745315721999,148745319045345,3323346, 1,N/A
REPETITION,148745319048492,148745322058170,3009678, 1,N/A
REPETITION,148745322060536,148745325307867,3247331, 1,N/A
REPETITION,148745325310492,148745328421942,3111450, 1,N/A
REPETITION,148745328426005,148745332304079,3878074, 1,N/A
REPETITION,148745332306948,148745335468026,3161078, 1,N/A
REPETITION,148745335473741,148745345154875,9681134, 1,N/A
REPETITION,148745345159439,148745349139589,3980150, 1,N/A
REPETITION,148745349142535,148745351916097,2773562, 1,N/A
REPETITION,148745351918461,148745361620382,9701921, 1,N/A
REPETITION,148745361625014,148745368542449,6917435, 1,N/A
REPETITION,148745368549409,148745373246114,4696705, 1,N/A
REPETITION,148745373252901,148745377048619,3795718, 1,N/A
REPETITION,148745377051947,148745380722166,3670219, 1,N/A
REPETITION,148745380726740,148745383421477,2694737, 1,N/A
REPETITION,148745383424158,148745386664249,3240091, 1,N/A
REPETITION,148745386667344,148745389904464,3237120, 1,N/A
REPETITION,148745389907576,148745392916619,3009043, 1,N/A
REPETITION,148745392919883,148745395546390,2626507, 1,N/A
REPETITION,148745395549838,148745398379169,2829331, 1,N/A
REPETITION,148745398382558,148745401452689,3070131, 1,N/A
REPETITION,148745401455893,148745404771531,3315638, 1,N/A
REPETITION,148745404776428,148745408711275,3934847, 1,N/A
REPETITION,148745408715545,148745412940624,4225079, 1,N/A
REPETITION,148745412944754,148745419788545,6843791, 1,N/A
REPETITION,148745419793036,148745422413447,2620411, 1,N/A
REPETITION,148745422417186,148745425534337,3117151, 1,N/A
REPETITION,148745425537428,148745428509486,2972058, 1,N/A
REPETITION,148745428512710,148745431291054,2778344, 1,N/A
REPETITION,148745431294668,148745434242630,2947962, 1,N/A
REPETITION,148745434246095,148745438062323,3816228, 1,N/A
REPETITION,148745438066650,148745441989305,3922655, 1,N/A
REPETITION,148745441993081,148745445891679,3898598, 1,N/A
REPETITION,148745445895809,148745448330180,2434371, 1,N/A
REPETITION,148745448333339,148745452817393,4484054, 1,N/A
REPETITION,148745452821387,148745455453940,2632553, 1,N/A
REPETITION,148745455457336,148745492427803,36970467, 1,N/A
REPETITION,148745492432384,148745496550769,4118385, 1,N/A
WARMUP,148746401588088,148746702827996,301239908, 1,N/A
REPETITION,148746702842988,148746727968612,25125624, 1,N/A
REPETITION,148746727972191,148746750422166,22449975, 1,N/A
REPETITION,148746750426707,148746764227836,13801129, 1,N/A
REPETITION,148746764231673,148746776176944,11945271, 1,N/A
REPETITION,148746776180020,148746783679471,7499451, 1,N/A
REPETITION,148746783682417,148746792906010,9223593, 1,N/A
REPETITION,148746792910293,148746801945061,9034768, 1,N/A
REPETITION,148746801949412,148746808350049,6400637, 1,N/A
REPETITION,148746808356390,148746816807123,8450733, 1,N/A
REPETITION,148746816811196,148746824804700,7993504, 1,N/A
REPETITION,148746824808739,148746832267996,7459257, 1,N/A
REPETITION,148746832272152,148746842587517,10315365, 1,N/A
REPETITION,148746842591900,148746850352113,7760213, 1,N/A
REPETITION,148746850356135,148746858277667,7921532, 1,N/A
REPETITION,148746858281752,148746865225478,6943726, 1,N/A
REPETITION,148746865229935,148746871658039,6428104, 1,N/A
REPETITION,148746871664070,148746877839121,6175051, 1,N/A
REPETITION,148746877843428,148746883427211,5583783, 1,N/A
REPETITION,148746883430344,148746886662085,3231741, 1,N/A
REPETITION,148746886664890,148746890236798,3571908, 1,N/A
REPETITION,148746890240833,148746895447186,5206353, 1,N/A
REPETITION,148746895451403,148746900372111,4920708, 1,N/A
REPETITION,148746900376565,148746905901868,5525303, 1,N/A
REPETITION,148746905906346,148746910952838,5046492, 1,N/A
REPETITION,148746910957152,148746915997126,5039974, 1,N/A
REPETITION,148746916005816,148746920556380,4550564, 1,N/A
REPETITION,148746920560487,148746925179538,4619051, 1,N/A
REPETITION,148746925183785,148746928905257,3721472, 1,N/A
REPETITION,148746928909380,148746933558011,4648631, 1,N/A
REPETITION,148746933562585,148746938142219,4579634, 1,N/A
REPETITION,148746938146751,148746942526838,4380087, 1,N/A
REPETITION,148746942530624,148746947416080,4885456, 1,N/A
REPETITION,148746947420751,148746951927565,4506814, 1,N/A
REPETITION,148746951931220,148746956748676,4817456, 1,N/A
REPETITION,148746956751894,148746968869228,12117334, 1,N/A
REPETITION,148746968873943,148746973064049,4190106, 1,N/A
REPETITION,148746973068237,148746977084108,4015871, 1,N/A
REPETITION,148746977088413,148746981883810,4795397, 1,N/A
REPETITION,148746981888504,148746986942003,5053499, 1,N/A
REPETITION,148746986946225,148746991193500,4247275, 1,N/A
REPETITION,148746991197876,148746995492670,4294794, 1,N/A
REPETITION,148746995496617,148746999841926,4345309, 1,N/A
REPETITION,148746999846377,148747004325989,4479612, 1,N/A
REPETITION,148747004330365,148747008773097,4442732, 1,N/A
REPETITION,148747008777578,148747012550583,3773005, 1,N/A
REPETITION,148747012554131,148747014872975,2318844, 1,N/A
REPETITION,148747014875978,148747017571498,2695520, 1,N/A
REPETITION,148747017574854,148747021641878,4067024, 1,N/A
REPETITION,148747021646360,148747025646160,3999800, 1,N/A
REPETITION,148747025650341,148747029562702,3912361, 1,N/A
REPETITION,148747029565857,148747031892705,2326848, 1,N/A
REPETITION,148747031895850,148747035648671,3752821, 1,N/A
REPETITION,148747035653167,148747039570200,3917033, 1,N/A
REPETITION,148747039574573,148747043585976,4011403, 1,N/A
REPETITION,148747043590328,148747047729406,4139078, 1,N/A
REPETITION,148747047733710,148747051507697,3773987, 1,N/A
REPETITION,148747051511017,148747055649470,4138453, 1,N/A
REPETITION,148747055653829,148747059732781,4078952, 1,N/A
REPETITION,148747059737784,148747063803076,4065292, 1,N/A
REPETITION,148747063806539,148747067596336,3789797, 1,N/A
REPETITION,148747067600224,148747071486680,3886456, 1,N/A
REPETITION,148747071491068,148747075348424,3857356, 1,N/A
REPETITION,148747075352454,148747079418513,4066059, 1,N/A
REPETITION,148747079424360,148747083857957,4433597, 1,N/A
REPETITION,148747083861547,148747086758864,2897317, 1,N/A
WARMUP,148747968677675,148748268585252,299907577, 1,N/A
REPETITION,148748268598044,148748295711847,27113803, 1,N/A
REPETITION,148748295716441,148748316734402,21017961, 1,N/A
REPETITION,148748316738885,148748332502876,15763991, 1,N/A
REPETITION,148748332506990,148748346058746,13551756, 1,N/A
REPETITION,148748346062346,148748358316319,12253973, 1,N/A
REPETITION,148748358320413,148748365433637,7113224, 1,N/A
REPETITION,148748365436814,148748371154071,5717257, 1,N/A
REPETITION,148748371157335,148748376480738,5323403, 1,N/A
REPETITION,148748376484321,148748381626674,5142353, 1,N/A
REPETITION,148748381630275,148748386885699,5255424, 1,N/A
REPETITION,148748386889457,148748392411754,5522297, 1,N/A
REPETITION,148748392416053,148748399567497,7151444, 1,N/A
REPETITION,148748399570899,148748407846073,8275174, 1,N/A
REPETITION,148748407850856,148748415492471,7641615, 1,N/A
REPETITION,148748415496910,148748422501073,7004163, 1,N/A
REPETITION,148748422505098,148748429576379,7071281, 1,N/A
REPETITION,148748429580822,148748436355991,6775169, 1,N/A
REPETITION,148748436360026,148748442087153,5727127, 1,N/A
REPETITION,148748442091607,148748447641716,5550109, 1,N/A
REPETITION,148748447646261,148748452487849,4841588, 1,N/A
REPETITION,148748452492065,148748457042698,4550633, 1,N/A
REPETITION,148748457045918,148748461136196,4090278, 1,N/A
REPETITION,148748461139767,148748465096074,3956307, 1,N/A
REPETITION,148748465100327,148748470003249,4902922, 1,N/A
REPETITION,148748470007547,148748473811799,3804252, 1,N/A
REPETITION,148748473815525,148748477556024,3740499, 1,N/A
REPETITION,148748477559344,148748481503905,3944561, 1,N/A
REPETITION,148748481506698,148748486592219,5085521, 1,N/A
REPETITION,148748486596200,148748491402052,4805852, 1,N/A
REPETITION,148748491405703,148748496228302,4822599, 1,N/A
REPETITION,148748496231718,148748499333155,3101437, 1,N/A
REPETITION,148748499336683,148748502757401,3420718, 1,N/A
REPETITION,148748502760218,148748505876972,3116754, 1,N/A
REPETITION,148748505879981,148748509047829,3167848, 1,N/A
REPETITION,148748509050758,148748512183643,3132885, 1,N/A
REPETITION,148748512186442,148748515175609,2989167, 1,N/A
REPETITION,148748515178322,148748528263098,13084776, 1,N/A
REPETITION,148748528266472,148748535899807,7633335, 1,N/A
REPETITION,148748535904252,148748541042609,5138357, 1,N/A
REPETITION,148748541046892,148748546037878,4990986, 1,N/A
REPETITION,148748546042342,148748551120795,5078453, 1,N/A
REPETITION,148748551124986,148748555970914,4845928, 1,N/A
REPETITION,148748555975703,148748561236661,5260958, 1,N/A
REPETITION,148748561240548,148748565755807,4515259, 1,N/A
REPETITION,148748565760237,148748570482011,4721774, 1,N/A
REPETITION,148748570488015,148748574785807,4297792, 1,N/A
REPETITION,148748574789899,148748578486253,3696354, 1,N/A
REPETITION,148748578491220,148748581750288,3259068, 1,N/A
REPETITION,148748581753450,148748584492182,2738732, 1,N/A
REPETITION,148748584494877,148748587386735,2891858, 1,N/A
REPETITION,148748587389244,148748591814721,4425477, 1,N/A
REPETITION,148748591818786,148748595839517,4020731, 1,N/A
REPETITION,148748595843799,148748599920748,4076949, 1,N/A
REPETITION,148748599925107,148748604001749,4076642, 1,N/A
REPETITION,148748604005267,148748614887662,10882395, 1,N/A
REPETITION,148748614891879,148748618936156,4044277, 1,N/A
REPETITION,148748618940343,148748622172398,3232055, 1,N/A
REPETITION,148748622175943,148748624991070,2815127, 1,N/A
REPETITION,148748624994612,148748629222518,4227906, 1,N/A
REPETITION,148748629226946,148748637487950,8261004, 1,N/A
REPETITION,148748637493116,148748640365991,2872875, 1,N/A
REPETITION,148748640369112,148748642746348,2377236, 1,N/A
REPETITION,148748642750228,148748645181242,2431014, 1,N/A
REPETITION,148748645185689,148748648270418,3084729, 1,N/A
REPETITION,148748648274007,148748651977261,3703254, 1,N/A
WARMUP,148749529834449,148749826959771,297125322, 1,N/A
REPETITION,148749826974265,148749852582133,25607868, 1,N/A
REPETITION,148749852586183,148749873656675,21070492, 1,N/A
REPETITION,148749873661322,148749889866900,16205578, 1,N/A
REPETITION,148749889871027,148749903369516,13498489, 1,N/A
REPETITION,148749903373838,148749915171947,11798109, 1,N/A
REPETITION,148749915176026,148749924895984,9719958, 1,N/A
REPETITION,148749924900381,148749933798982,8898601, 1,N/A
REPETITION,148749933803430,148749941520671,7717241, 1,N/A
REPETITION,148749941524902,148749949369031,7844129, 1,N/A
REPETITION,148749949373297,148749955466373,6093076, 1,N/A
REPETITION,148749955469764,148749964276565,8806801, 1,N/A
REPETITION,148749964281059,148749972285961,8004902, 1,N/A
REPETITION,148749972290159,148749979350053,7059894, 1,N/A
REPETITION,148749979354547,148749986421828,7067281, 1,N/A
REPETITION,148749986425914,148749993270943,6845029, 1,N/A
REPETITION,148749993275826,148749999234296,5958470, 1,N/A
REPETITION,148749999238858,148750004947829,5708971, 1,N/A
REPETITION,148750004952062,148750009660061,4707999, 1,N/A
REPETITION,148750009663514,148750014382025,4718511, 1,N/A
REPETITION,148750014386235,148750018149855,3763620, 1,N/A
REPETITION,148750018152980,148750022152610,3999630, 1,N/A
REPETITION,148750022156755,148750026921423,4764668, 1,N/A
REPETITION,148750026925612,148750031666269,4740657, 1,N/A
REPETITION,148750031670523,148750036370633,4700110, 1,N/A
REPETITION,148750036374822,148750040930893,4556071, 1,N/A
REPETITION,148750040935255,148750045244330,4309075, 1,N/A
REPETITION,148750045248413,148750049684148,4435735, 1,N/A
REPETITION,148750049688284,148750054232064,4543780, 1,N/A
REPETITION,148750054236371,148750058699221,4462850, 1,N/A
REPETITION,148750058702919,148750063108281,4405362, 1,N/A
REPETITION,148750063112851,148750067551506,4438655, 1,N/A
REPETITION,148750067555750,148750072119783,4564033, 1,N/A
REPETITION,148750072124281,148750076756788,4632507, 1,N/A
REPETITION,148750076761283,148750091022666,14261383, 1,N/A
REPETITION,148750091027813,148750102120156,11092343, 1,N/A
REPETITION,148750102124422,148750106208438,4084016, 1,N/A
REPETITION,148750106212533,148750110660772,4448239, 1,N/A
REPETITION,148750110665182,148750115396805,4731623, 1,N/A
REPETITION,148750115401144,148750119507712,4106568, 1,N/A
REPETITION,148750119512204,148750123555057,4042853, 1,N/A
REPETITION,148750123559379,148750127551434,3992055, 1,N/A
REPETITION,148750127555500,148750131533672,3978172, 1,N/A
REPETITION,148750131538492,148750135550102,4011610, 1,N/A
REPETITION,148750135554576,148750139597619,4043043, 1,N/A
REPETITION,148750139601306,148750143638264,4036958, 1,N/A
REPETITION,148750143642672,148750147784624,4141952, 1,N/A
REPETITION,148750147789245,148750151779386,3990141, 1,N/A
REPETITION,148750151783598,148750155241460,3457862, 1,N/A
REPETITION,148750155245375,148750157481911,2236536, 1,N/A
REPETITION,148750157485281,148750159717404,2232123, 1,N/A
REPETITION,148750159720633,148750161918620,2197987, 1,N/A
REPETITION,148750161922148,148750164789750,2867602, 1,N/A
REPETITION,148750164794094,148750168986984,4192890, 1,N/A
REPETITION,148750168991086,148750172677306,3686220, 1,N/A
REPETITION,148750172682358,148750175971633,3289275, 1,N/A
REPETITION,148750175975517,148750178223982,2248465, 1,N/A
REPETITION,148750178227393,148750180440281,2212888, 1,N/A
REPETITION,148750180443125,148750182703982,2260857, 1,N/A
REPETITION,148750182707571,148750184966806,2259235, 1,N/A
REPETITION,148750184969996,148750187218193,2248197, 1,N/A
REPETITION,148750187221024,148750189739988,2518964, 1,N/A
REPETITION,148750189744282,148750193488011,3743729, 1,N/A
REPETITION,148750193492536,148750197294556,3802020, 1,N/A
REPETITION,148750197299138,148750223332797,26033659, 1,N/A
REPETITION,148750223337077,148750227572149,4235072, 1,N/A
WARMUP,148751098287074,148751400266511,301979437, 1,N/A
REPETITION,148751400278472,148751425756979,25478507, 1,N/A
REPETITION,148751425761473,148751446334953,20573480, 1,N/A
REPETITION,148751446340159,148751461510277,15170118, 1,N/A
REPETITION,148751461513417,148751474847574,13334157, 1,N/A
REPETITION,148751474851170,148751486712855,11861685, 1,N/A
REPETITION,148751486717593,148751497828465,11110872, 1,N/A
REPETITION,148751497832581,148751507291809,9459228, 1,N/A
REPETITION,148751507295074,148751513225567,5930493, 1,N/A
REPETITION,148751513228694,148751518269735,5041041, 1,N/A
REPETITION,148751518272471,148751525102773,6830302, 1,N/A
REPETITION,148751525105928,148751544781808,19675880, 1,N/A
REPETITION,148751544786251,148751551947082,7160831, 1,N/A
REPETITION,148751551953525,148751558526618,6573093, 1,N/A
REPETITION,148751558531195,148751564721389,6190194, 1,N/A
REPETITION,148751564725494,148751570923226,6197732, 1,N/A
REPETITION,148751570927082,148751576707068,5779986, 1,N/A
