RUNTYPE,STARTTIME,ENDTIME,DURATION,SUCCESS,FAILREASON
WARMUP,1407063311061540,1407063359105880,48044340, 1,N/A
REPETITION,1407063359113640,1407064401356439,1042242799, 1,N/A
REPETITION,1407064401359910,1407064691388505,290028595, 1,N/A
REPETITION,1407064691391905,1407064775575794,84183889, 1,N/A
REPETITION,1407064775579286,1407068662687935,3887108649, 1,N/A
REPETITION,1407068662690397,1407068724074895,61384498, 1,N/A
REPETITION,1407068724077282,1407068820362654,96285372, 1,N/A
REPETITION,1407068820365024,1407068821546616,1181592, 1,N/A
REPETITION,1407068821548311,1407068822473224,924913, 1,N/A
REPETITION,1407068822474638,1407068823254056,779418, 1,N/A
REPETITION,1407068823255635,1407068867512865,44257230, 1,N/A
REPETITION,1407068867515432,1407069264019124,396503692, 1,N/A
REPETITION,1407069264021700,1407069265073981,1052281, 1,N/A
REPETITION,1407069265075666,1407069745432638,480356972, 1,N/A
REPETITION,1407069745435133,1407069746308651,873518, 1,N/A
REPETITION,1407069746310036,1407069746761821,451785, 1,N/A
REPETITION,1407069746763066,1407069747196261,433195, 1,N/A
REPETITION,1407069747197466,1407069747913821,716355, 1,N/A
REPETITION,1407069747915081,1407069748297423,382342, 1,N/A
REPETITION,1407069748298552,1407069748750653,452101, 1,N/A
REPETITION,1407069748751804,1407069749250982,499178, 1,N/A
REPETITION,1407069749252632,1407069749798718,546086, 1,N/A
REPETITION,1407069749800246,1407069750388543,588297, 1,N/A
REPETITION,1407069750390127,1407069750816498,426371, 1,N/A
REPETITION,1407069750817985,1407069751222305,404320, 1,N/A
REPETITION,1407069751223444,1407069751643613,420169, 1,N/A
REPETITION,1407069751645252,1407069752066187,420935, 1,N/A
REPETITION,1407069752067606,1407069752533203,465597, 1,N/A
REPETITION,1407069752535020,1407069752967042,432022, 1,N/A
REPETITION,1407069752968583,1407069753394347,425764, 1,N/A
REPETITION,1407069753395693,1407069753800953,405260, 1,N/A
REPETITION,1407069753802199,1407069754378694,576495, 1,N/A
REPETITION,1407069754380163,1407069754810437,430274, 1,N/A
REPETITION,1407069754811494,1407069755199499,388005, 1,N/A
REPETITION,1407069755201038,1407069755600657,399619, 1,N/A
REPETITION,1407069755601973,1407069755895375,293402, 1,N/A
REPETITION,1407069755896381,1407069756236899,340518, 1,N/A
REPETITION,1407069756238402,1407069756712872,474470, 1,N/A
REPETITION,1407069756714419,1407069757139704,425285, 1,N/A
REPETITION,1407069757141215,1407069757533271,392056, 1,N/A
REPETITION,1407069757534741,1407069757903568,368827, 1,N/A
REPETITION,1407069757904963,1407069758291081,386118, 1,N/A
REPETITION,1407069758292492,1407069758914203,621711, 1,N/A
REPETITION,1407069758915475,1407069759244477,329002, 1,N/A
REPETITION,1407069759245560,1407069759550519,304959, 1,N/A
REPETITION,1407069759551982,1407069759900098,348116, 1,N/A
REPETITION,1407069759901177,1407069760203840,302663, 1,N/A
REPETITION,1407069760204902,1407069760445131,240229, 1,N/A
REPETITION,1407069760446189,1407069760674140,227951, 1,N/A
REPETITION,1407069760675164,1407069760961230,286066, 1,N/A
REPETITION,1407069760962267,1407069761295170,332903, 1,N/A
REPETITION,1407069761296357,1407069761662017,365660, 1,N/A
REPETITION,1407069761663076,1407069761965530,302454, 1,N/A
REPETITION,1407069761966930,1407069762354695,387765, 1,N/A
REPETITION,1407069762356209,1407069762715054,358845, 1,N/A
REPETITION,1407069762716235,1407069763059540,343305, 1,N/A
REPETITION,1407069763060820,1407069763362091,301271, 1,N/A
REPETITION,1407069763363137,1407069763664524,301387, 1,N/A
REPETITION,1407069763665832,1407069764008690,342858, 1,N/A
REPETITION,1407069764010121,1407069764290381,280260, 1,N/A
REPETITION,1407069764291511,1407069764537951,246440, 1,N/A
REPETITION,1407069764538980,1407069764900167,361187, 1,N/A
REPETITION,1407069764901415,1407069765166546,265131, 1,N/A
REPETITION,1407069765167667,1407069765551777,384110, 1,N/A
REPETITION,1407069765553460,1407069765858207,304747, 1,N/A
REPETITION,1407069765859694,1407069766172881,313187, 1,N/A
